Text,Label
ICBC,company
China Construction Bank,company
JPMorgan Chase,company
Berkshire Hathaway,company
Agricultural Bank of China,company
Saudi Arabian Oil Company (Saudi Aramco),company
Ping An Insurance Group,company
Bank of America,company
Apple,company
Bank of China,company
AT&T,company
Toyota Motor,company
Alphabet,company
ExxonMobil,company
Microsoft,company
Samsung Electronics,company
Wells Fargo,company
Citigroup,company
Walmart,company
Verizon Communications,company
Royal Dutch Shell,company
Amazon,company
Volkswagen Group,company
UnitedHealth Group,company
Allianz,company
China Merchants Bank,company
Comcast,company
China Mobile,company
Total,company
Postal Savings Bank Of China (PSBC),company
Alibaba,company
Gazprom,company
PetroChina,company
Johnson & Johnson,company
RBC,company
Walt Disney,company
China Life Insurance,company
Intel,company
Facebook,company
CVS Health,company
Nestlé,company
BNP Paribas,company
Nippon Telegraph & Tel,company
HSBC Holdings,company
Bank of Communications,company
TD Bank Group,company
Goldman Sachs Group,company
Morgan Stanley,company
Pfizer,company
Tencent Holdings,company
IBM,company
Mitsubishi UFJ Financial,company
General Electric,company
Rosneft,company
Santander,company
Anheuser-Busch InBev,company
Industrial Bank,company
Reliance Industries,company
Sony,company
Sinopec,company
Chevron,company
Siemens,company
Cigna,company
AXA Group,company
Shanghai Pudong Development,company
AIA Group,company
Softbank,company
Novartis,company
Deutsche Telekom,company
Petrobras,company
Procter & Gamble,company
Japan Post Holdings,company
LVMH Moet Hennessy Louis Vuitton,company
Roche Holding,company
BMW Group,company
Zurich Insurance Group,company
CITIC,company
Itaú Unibanco Holding,company
China State Construction Engineering,company
MetLife,company
Sumitomo Mitsui Financial,company
Cisco Systems,company
Honda Motor,company
Commonwealth Bank,company
Bank of Nova Scotia,company
Raytheon Technologies,company
PepsiCo,company
American Express,company
General Motors,company
China Minsheng Bank,company
British American Tobacco,company
Merck & Co.,company
BHP Group,company
Oracle,company
Brookfield Asset Management,company
Coca-Cola,company
Enel,company
GlaxoSmithKline,company
LukOil,company
China Vanke,company
Banco Bradesco,company
Bayer,company
US Bancorp,company
Mitsubishi,company
Anthem,company
Home Depot,company
BASF,company
Taiwan Semiconductor,company
UBS,company
Unilever,company
Country Garden Holdings,company
EDF,company
China Citic Bank,company
Rio Tinto,company
Lloyds Banking Group,company
Prudential Financial,company
Sanofi,company
Credit Agricole,company
AbbVie,company
Iberdrola,company
Hon Hai Precision,company
KDDI,company
Enbridge,company
Manulife,company
Intesa Sanpaolo,company
CNOOC,company
Dell Technologies,company
Westpac Banking Group,company
Medtronic,company
China Pacific Insurance,company
SAIC Motor,company
Bank of Montreal,company
Caterpillar,company
Chubb,company
Itochu,company
Walgreens Boots Alliance,company
VINCI,company
Bristol-Myers Squibb,company
PNC Financial Services,company
Generali Group,company
Visa,company
Costco Wholesale,company
United Parcel Service,company
Duke Energy,company
Lockheed Martin,company
HDFC Bank,company
Allstate,company
China Everbright Bank,company
